id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,track_id,popularity
0,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",pop,moody,0.472,131.121,0.238,0.714,0.013,3nqQXoyQOWXiESFLlDF1hG,100
1,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",hip-hop,energetic,0.782,128.033,0.55,0.621,0.0125,2tTmW7RDtMQtBk7m2rYeSw,99
2,La Bachata,Manuel Turizo,latin,happy,0.679,124.98,0.85,0.835,0.583,5ww2BF9slyYgNOk37BlC4u,98
3,I'm Good (Blue),"David Guetta, Bebe Rexha",pop,intense,0.965,128.04,0.304,0.561,0.00383,4uUG5RXrOk84mYEfFvj3cK,98
4,Me Porto Bonito,"Bad Bunny, Chencho Corleone",reggae,intense,0.712,92.005,0.425,0.911,0.0901,6Sq7ltF9Qa7SNFBsV5Cogx,97
5,Tití Me Preguntó,Bad Bunny,reggae,intense,0.715,106.672,0.187,0.65,0.0993,1IHWl5LamUGEuP4ozKQSXZ,97
6,Efecto,Bad Bunny,latin,moody,0.475,98.047,0.234,0.801,0.141,5Eax0qFko2dh7Rl2lYs3bx,96
7,I Ain't Worried,OneRepublic,rock,energetic,0.797,139.994,0.825,0.704,0.0826,4h9wh7iOZ0GGn8QVp4RAOB,96
8,Under The Influence,Chris Brown,electronic,moody,0.69,116.992,0.31,0.733,0.0635,5IgjP7X4th6nMNDh4akUHb,96
9,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",latin,moody,0.686,79.928,0.268,0.647,0.08,3k3NWokhRRkEPhCzPmV8TW,95
10,As It Was,Harry Styles,pop,energetic,0.731,173.93,0.662,0.52,0.342,4LRPiXqCikLlN15c3yImP7,95
11,Moscow Mule,Bad Bunny,latin,moody,0.674,99.968,0.292,0.804,0.294,6Xom58OOXk2SoU711L2IXO,94
12,Glimpse of Us,Joji,pop,moody,0.317,169.914,0.268,0.44,0.891,6xGruZOHLs39ZbVccQTuPZ,94
13,Another Love,Tom Odell,ambient,moody,0.537,122.769,0.131,0.445,0.695,3JvKfv6T31zO0ini8iNItO,93
14,Neverita,Bad Bunny,reggae,moody,0.498,122.016,0.428,0.876,0.0706,31i56LZnwE6uSu3exoHjtB,93
15,Sweater Weather,The Neighbourhood,rock,intense,0.807,124.053,0.398,0.612,0.0495,2QjOHCTQ1Jl3zawyYOpxh6,93
16,PROVENZA,KAROL G,latin,happy,0.516,111.005,0.53,0.87,0.656,7dSZ6zGTQx66c2GF91xCrb,93
17,CUFF IT,Beyoncé,electronic,happy,0.689,115.042,0.642,0.78,0.0368,1xzi1Jcr7mEi9K2RfzLOqS,93
18,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS",electronic,happy,0.592,101.058,0.719,0.881,0.619,0mBP9X2gPCuapvpZ7TGDk3,92
19,Super Freaky Girl,Nicki Minaj,hip-hop,energetic,0.891,133.01,0.912,0.95,0.0645,4C6Uex2ILwJi9sZXRdmqXp,92
20,Calm Down (with Selena Gomez),"Rema, Selena Gomez",pop,energetic,0.806,106.999,0.802,0.801,0.382,0WtM2NBVQNNJLh6scP13H8,92
21,I Wanna Be Yours,Arctic Monkeys,rock,moody,0.417,67.528,0.479,0.464,0.136,5XeFesFbtLpXzIVDNQP22n,92
22,As It Was,Harry Styles,pop,energetic,0.731,173.93,0.662,0.52,0.342,4Dvkj6JhhA12EX05fT7y2e,92
23,Tarot,"Bad Bunny, Jhayco",latin,moody,0.684,114.011,0.419,0.795,0.0225,41oY4WCTj5kccfesTVFnvN,91
24,LOKERA,"Rauw Alejandro, Lyanno, Brray",latin,energetic,0.828,102.019,0.58,0.834,0.21,79HZAZNnOE97rb2hnI0XQr,91
25,Caile,Luar La L,latin,intense,0.756,121.737,0.461,0.704,0.298,6i1g5ZRmJZAkDwBaUZ3f2i,91
26,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",hip-hop,moody,0.673,165.921,0.366,0.529,0.000307,3F5CgOj3wFlRv51JsHbxhe,91
27,Blinding Lights,The Weeknd,pop,intense,0.73,171.005,0.334,0.514,0.00146,0VjIjW4GlUZAMYd2vXMi3b,91
28,Running Up That Hill (A Deal With God),Kate Bush,folk,moody,0.547,108.375,0.197,0.629,0.72,75FEaRjZTKLhTrFGsfMUXR,90
29,Ferrari,"James Hype, Miggy Dela Rosa",funk,happy,0.69,125.004,0.692,0.847,0.0127,4zN21mbAuaD0WqtmaTZZeP,90
30,Te Felicito,"Shakira, Rauw Alejandro",latin,happy,0.636,174.14,0.575,0.695,0.234,2rurDawMfoKP4uHyb2kJBt,90
31,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,hip-hop,intense,0.715,141.872,0.308,0.637,0.148,38T0tPVZHcPZyhtOcCP7pF,90
32,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,electronic,happy,0.601,159.969,0.74,0.801,0.0777,0hquQWY3xvYqN4qtiquniF,90
33,Party,"Bad Bunny, Rauw Alejandro",reggae,intense,0.799,97.013,0.471,0.829,0.0151,4tYFy8ALRjIZvnvSLw5lxN,90
34,GATÚBELA,"KAROL G, Maldy",latin,intense,0.858,92.523,0.342,0.627,0.263,1ga4PztXOIw1yBbdUt2X8v,90
35,La Corriente,"Bad Bunny, Tony Dize",reggae,energetic,0.786,196.12,0.579,0.663,0.229,1797zYiX4cKosMH836X9Gt,90
36,Atlantis,Seafret,folk,moody,0.479,166.159,0.213,0.4,0.0529,1Fid2jjqsHViMX6xNH70hE,90
37,"Sex, Drugs, Etc.",Beach Weather,rock,intense,0.839,143.969,0.465,0.572,0.013,7DbdUf8aHSYoliSjO6LZv6,90
38,Until I Found You,Stephen Sanchez,pop,moody,0.508,101.358,0.227,0.539,0.727,0T5iIrXA4p5GsubkhuBIKV,90
39,I Was Never There,"The Weeknd, Gesaffelstein",pop,intense,0.737,113.26,0.155,0.323,0.142,1cKHdTo9u0ZymJdPGSh6nq,90
40,MIDDLE OF THE NIGHT,Elley Duhé,pop,moody,0.611,185.727,0.0899,0.41,0.0228,58HvfVOeJY7lUuCqF0m3ly,90
41,Starboy,"The Weeknd, Daft Punk",pop,moody,0.587,186.003,0.486,0.679,0.141,7MXVkk9YMctZqd1Srtv4MB,90
42,Dandelions,Ruth B.,pop,moody,0.692,116.959,0.454,0.609,0.0157,2eAvDnpXP5W0cVtiI0PUxV,90
43,Bones,Imagine Dragons,rock,energetic,0.742,114.071,0.571,0.773,0.0206,0HqZX76SFLDz2aW8aiqi7G,89
44,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",pop,energetic,0.862,123.994,0.592,0.791,0.037,7ef4DlsgrMEH11cDZd32M6,89
45,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",pop,intense,0.764,169.928,0.478,0.591,0.0383,5HCyWlXZPP0y6Gqq8TgA20,89
46,WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems",hip-hop,moody,0.642,83.389,0.339,0.463,0.314,59nOXPmaKlBfGMDeOVGrIK,89
47,Something in the Orange,Zach Bryan,country,sad,0.192,175.212,0.148,0.369,0.555,3WMj8moIAXJhHsyLaqIIHI,89
48,LA INOCENTE,"Mora, Feid",latin,intense,0.789,91.911,0.464,0.757,0.307,5jt25aFjW2kNoBqaEVaz5W,89
49,BILLIE EILISH.,Armani White,indie,happy,0.509,100.007,0.765,0.9,0.115,27ZZdyTSQWI7Cug2d2PkqV,89
50,Gangsta's Paradise,"Coolio, L.V.",hip-hop,moody,0.514,79.975,0.386,0.647,0.0655,1DIXPcTDzTj8ZMHt3PDt8p,89
51,Watermelon Sugar,Harry Styles,pop,energetic,0.816,95.39,0.557,0.548,0.122,6UelLqGlWMcVH1E5c4H7lY,89
52,Call Out My Name,The Weeknd,pop,moody,0.593,134.17,0.175,0.461,0.17,09mEdoA6zrmBPgTEN5qXmN,89
53,lovely (with Khalid),"Billie Eilish, Khalid",pop,sad,0.296,115.284,0.12,0.351,0.934,0u2P5u6lvoDfwTYjAADbn4,89
54,Hold Me Closer,"Elton John, Britney Spears",rock,intense,0.75,126.041,0.486,0.667,0.0746,72yP0DUlWPyH8P7IoxskwN,89
55,cómo dormiste?,Rels B,flamenco,happy,0.429,126.426,0.565,0.627,0.238,3fjN3y5x4hN53rykAN2LHQ,89
56,Save Your Tears,The Weeknd,pop,energetic,0.826,118.051,0.644,0.68,0.0212,5QO79kh1waicV47BqGRL3g,89
57,I Love You So,The Walters,indie,moody,0.648,75.977,0.466,0.575,0.583,4SqWKzw0CbA05TGszDgMlc,89
58,About Damn Time,Lizzo,hip-hop,energetic,0.743,108.966,0.722,0.836,0.0995,1PckUlxKqWQs3RlWXVBLw3,89
59,Do I Wanna Know?,Arctic Monkeys,rock,moody,0.532,85.03,0.405,0.548,0.186,5FVd6KXrgO9B3JPmC8OPst,88
60,good 4 u,Olivia Rodrigo,pop,happy,0.664,166.928,0.688,0.563,0.335,4ZtFanR9U6ndgddUvNcjcG,88
61,Why'd You Only Call Me When You're High?,Arctic Monkeys,rock,happy,0.631,92.004,0.8,0.691,0.0483,086myS9r57YsLbJpU0TgK9,88
62,505,Arctic Monkeys,rock,intense,0.866,140.266,0.248,0.526,0.00287,0BxE4FqsDD1Ot4YuBXwAPp,88
63,The Hills,The Weeknd,pop,moody,0.564,113.003,0.137,0.585,0.0671,7fBv7CLKzipRk6EC6TWHOB,88
64,Don’t Blame Me,Taylor Swift,pop,moody,0.534,135.917,0.193,0.615,0.106,1R0a2iXumgCiFb7HEZ7gUE,88
65,Without Me,Eminem,hip-hop,happy,0.669,112.238,0.662,0.908,0.00286,7lQ8MOhq6IN2w8EYcFNSUk,88
66,Mary On A Cross,Ghost,rock,energetic,0.9,130.02,0.561,0.466,0.000235,2HZLXBOnaSRhXStMLrq9fD,88
67,LA CANCIÓN,"J Balvin, Bad Bunny",reggae,moody,0.646,176.089,0.429,0.754,0.152,0fea68AdmYNygeTGI4RC18,88
68,Evergreen (You Didn’t Deserve Me At All),Omar Apollo,soul,moody,0.336,82.029,0.31,0.697,0.598,2TktkzfozZifbQhXjT6I33,88
69,Heat Waves,Glass Animals,indie,happy,0.525,80.87,0.531,0.761,0.44,02MWAaffLxlfxAUY7c5dvx,88
70,Woman,Doja Cat,pop,energetic,0.764,107.998,0.881,0.824,0.0888,6Uj1ctrBOjOas8xZXGqKk4,88
71,I'm Not The Only One,Sam Smith,electronic,moody,0.485,82.001,0.493,0.677,0.529,7795WJLVKJoAyVoOtCWqXN,88
72,Where Are You Now,"Lost Frequencies, Calum Scott",electronic,moody,0.636,120.966,0.262,0.671,0.515,3uUuGVFu1V7jTQL60S1r8z,88
73,Happier Than Ever,Billie Eilish,pop,sad,0.225,81.055,0.297,0.332,0.767,4RVwu0g32PAqgUiJoXsdF8,88
74,Bad Habits,Ed Sheeran,pop,energetic,0.893,126.011,0.537,0.807,0.0451,3rmo8F54jFF8OgYsqTxm5d,88
75,traitor,Olivia Rodrigo,pop,moody,0.339,100.607,0.0849,0.38,0.691,5CZ40GBx1sQ9agT82CLQCT,88
76,After LIKE,IVE,k-pop,energetic,0.922,125.014,0.799,0.68,0.103,2gYj9lubBorOPIVWsTXugG,88
77,drivers license,Olivia Rodrigo,pop,moody,0.431,143.875,0.137,0.561,0.768,5wANPM4fQCJwkGd4rN57mH,88
78,No Role Modelz,J. Cole,hip-hop,moody,0.521,100.028,0.494,0.69,0.324,68Dni7IE4VyPkTOH9mRWHr,88
79,Ghost,Justin Bieber,pop,intense,0.741,153.96,0.441,0.601,0.185,6I3mqTwhRpn34SLVafSH7G,88
80,BABY OTAKU,"Pablo Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C",latin,intense,0.747,102.003,0.432,0.835,0.0492,0kTMK4gNFfLXaTb62w1UaJ,88
81,Night Changes,One Direction,pop,moody,0.52,120.001,0.37,0.672,0.859,5O2P9iiztwhomNh8xkR9lJ,88
82,La Llevo Al Cielo (Ft. Ñengo Flow),"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",latin,energetic,0.845,170.023,0.769,0.795,0.105,6DoL1yYIwEW7VZMRaJhoJI,88
83,"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",folk,moody,0.574,94.009,0.436,0.577,0.572,6VBhH7CyP56BXjp8VsDFPZ,88
84,Believer,Imagine Dragons,rock,energetic,0.78,124.949,0.666,0.776,0.0622,0pqnGHJpmpxLKifKRmU6WP,88
85,Die For You,The Weeknd,pop,happy,0.525,133.249,0.51,0.582,0.111,2Ch7LmS7r2Gy2kc64wv3Bz,88
86,Someone You Loved,Lewis Capaldi,pop,moody,0.405,109.891,0.446,0.501,0.751,7qEHsqek33rTcFNT9PFqLf,87
87,Numb,"Marshmello, Khalid",house,energetic,0.774,119.966,0.632,0.912,0.121,10xV5l9nhLvFpR8mqzs0bL,87
88,Locked out of Heaven,Bruno Mars,electronic,happy,0.698,143.994,0.867,0.726,0.049,3w3y8KPTfNeOKPiqUTakBh,87
89,Yonaguni,Bad Bunny,latin,moody,0.648,179.951,0.44,0.644,0.276,2JPLbjOn0wPCngEot2STUS,87
90,Bad Decisions (with BTS & Snoop Dogg),"benny blanco, BTS, Snoop Dogg",pop,energetic,0.861,120.048,0.955,0.762,0.0185,0xzI1KAr0Yd9tv8jlIk3sn,87
91,Belly Dancer,"Imanbek, BYOR",electronic,intense,0.797,121.985,0.422,0.845,0.0582,7fZBQnc0zXwVybgCIrQQil,87
92,Shut Down,BLACKPINK,k-pop,happy,0.657,110.053,0.651,0.813,0.00269,6tCd8bPvYnceDG7W9M1RMk,87
93,Betty (Get Money),Yung Gravy,hip-hop,energetic,0.772,102.004,0.58,0.723,0.00524,4cacyP5c3PMlfnyjpg13xW,87
94,Only Love Can Hurt Like This,Paloma Faith,rock,intense,0.885,90.99,0.304,0.566,0.0958,62ke5zFUJN6RvtXZgVH0F8,87
95,Revenge,XXXTENTACION,emo,sad,0.251,139.999,0.18,0.746,0.782,5TXDeTFVRVY7Cvt0Dw4vWW,87
96,Heather,Conan Gray,pop,moody,0.425,102.078,0.27,0.357,0.584,4xqrdfXkTW4T0RauPLv3WA,87
97,deja vu,Olivia Rodrigo,pop,moody,0.612,180.917,0.178,0.442,0.584,6HU7h9RYOaPRFeh0R3UeAr,87
98,The Real Slim Shady,Eminem,hip-hop,happy,0.661,104.504,0.76,0.949,0.0302,3yfqSUWxFvZELEM4PmlwIR,87
99,Miss You,"Oliver Tree, Robin Schulz",indie,intense,0.742,145.007,0.199,0.587,0.0128,73vIOb4Q7YN6HeJTbscRx5,87
100,Un Ratito,Bad Bunny,latin,moody,0.546,93.05,0.222,0.787,0.305,5CzixCxDkRXX9mScCmah8O,87
101,Perfect,Ed Sheeran,pop,moody,0.448,95.05,0.168,0.599,0.163,0tgVpDi06FyKpA1z0VMD4v,87
102,Feliz Cumpleaños Ferxxo,Feid,latin,happy,0.55,95.019,0.566,0.87,0.102,3kUq4sBcmxhnOtNysZ9yrp,87
103,Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",electronic,happy,0.697,94.996,0.956,0.756,0.182,0QBzMgT7NIeoCYy3sJCof1,87
104,Un Coco,Bad Bunny,latin,happy,0.69,151.991,0.744,0.839,0.207,6VrQTLzzuyGIYjUDe4kAZk,87
105,Everybody Wants To Rule The World,Tears For Fears,synthwave,energetic,0.795,112.067,0.535,0.645,0.347,4RvWPyQ5RL0ao9LPZeSouE,87
106,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy, Bad Bunny, Julieta Venegas",latin,intense,0.703,169.888,0.138,0.639,0.0889,4gzsuuZypVbxs0Af1LSZyB,87
107,Daddy Issues,The Neighbourhood,indie,moody,0.521,85.012,0.337,0.588,0.0678,5E30LdtzQTGqRvNd7l6kG5,87
108,THATS WHAT I WANT,Lil Nas X,hip-hop,energetic,0.846,87.981,0.546,0.737,0.00614,0e8nrvls4Qqv5Rfa2UhqmO,87
109,Dos Mil 16,Bad Bunny,latin,moody,0.67,130.058,0.495,0.817,0.123,4d4ZXH4dr5bYfgErHiZCX2,87
110,abcdefu,GAYLE,pop,moody,0.54,121.932,0.415,0.695,0.299,4fouWK6XVHhzl78KzQ1UjL,86
111,In The Stars,Benson Boone,pop,moody,0.54,78.007,0.3,0.362,0.338,1ei3hzQmrgealgRKFxIcWn,86
112,Prohibidox,Feid,reggae,energetic,0.801,180.108,0.517,0.647,0.0451,3PpWCS95gDUDRPko3u1MZ9,86
113,Talk that Talk,TWICE,k-pop,energetic,0.907,119.973,0.783,0.772,0.136,0RDqNCRBGrSegk16Avfzuq,86
114,Pepas,Farruko,latin,intense,0.766,130.001,0.442,0.762,0.00776,5fwSHlTEWpluwOM0Sxnh5k,86
115,Mr. Brightside,The Killers,indie,intense,0.911,148.033,0.236,0.352,0.00121,003vvx7Niy0yvhvHt4a68B,86
116,Freaks,Surf Curse,punk,intense,0.941,179.626,0.407,0.345,3.84e-05,7EkWXAI1wn8Ii883ecd9xr,86
117,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",hip-hop,intense,0.764,169.928,0.478,0.591,0.0383,5PjdY0CKGZdEuoNab3yDmX,86
118,The Nights,Avicii,pop,energetic,0.835,125.983,0.654,0.527,0.0166,0ct6r3EGTcMLPtrXHDvVjc,86
119,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",pop,energetic,0.704,149.995,0.894,0.736,0.0203,27NovPIUIRrOZoCHxABJwK,86
120,Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",pop,moody,0.696,90.03,0.464,0.677,0.321,4iJyoBOLtHqaGxP12qzhQI,86
121,Hope,XXXTENTACION,hip-hop,moody,0.457,146.04,0.225,0.592,0.661,2ZRo7axmMPeSVUvDbGkJah,86
122,happier,Olivia Rodrigo,pop,moody,0.443,168.924,0.338,0.395,0.765,2tGvwE8GcFKwNdAXMnlbfl,86
123,Andrea,"Bad Bunny, Buscabulla",latin,moody,0.616,103.071,0.451,0.797,0.762,44XjoNvtwevktFKjvVe1vH,86
124,everything i wanted,Billie Eilish,electronic,sad,0.225,120.006,0.243,0.704,0.902,3ZCTVFBt2Brf31RLEnCkWJ,86
125,Softcore,The Neighbourhood,rock,moody,0.568,93.986,0.37,0.575,0.0484,2K7xn816oNHJZ0aVqdQsha,86
126,There's Nothing Holdin' Me Back,Shawn Mendes,electronic,energetic,0.813,121.998,0.969,0.866,0.38,7JJmb5XwzOO8jgpou264Ml,86
127,The Motto,"Tiësto, Ava Max",trance,intense,0.763,117.953,0.464,0.754,0.0301,18asYwWugKjjsihZ0YvRxO,86
128,Beggin',Måneskin,indie,energetic,0.8,134.002,0.589,0.714,0.127,3Wrjm47oTz2sjIgck11l5e,86
129,Till I Collapse,"Eminem, Nate Dogg",hip-hop,intense,0.847,171.447,0.1,0.548,0.0622,4xkOaSrkexMciUUogZKVTS,86
130,Every Breath You Take,The Police,rock,happy,0.452,117.401,0.74,0.82,0.543,1JSTJqkT5qHq8MDJnJbRE1,86
131,august,Taylor Swift,pop,moody,0.623,89.937,0.403,0.532,0.538,3hUxzQpSfdDqwM3ZTFQY0K,86
132,Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",rock,energetic,0.783,77.011,0.555,0.728,0.237,1r9xUipOqoNwggBpENDsvJ,86
133,First Class,Jack Harlow,k-pop,moody,0.563,106.998,0.324,0.905,0.0254,1rDQ4oMwGJI7B4tovsBOxc,86
134,Superman,"Eminem, Dina Rae",hip-hop,energetic,0.755,130.027,0.58,0.802,0.0215,4woTEX1wYOTGDqNXuavlRC,86
135,Shape of You,Ed Sheeran,pop,happy,0.652,95.977,0.931,0.825,0.581,7qiZfU4dY1lWllzX7mPBI3,86
136,You Proof,Morgan Wallen,country,energetic,0.85,119.706,0.644,0.731,0.252,5uU1uuyaUIBOiiUSQG7Wl3,86
137,Photograph,Ed Sheeran,pop,moody,0.379,107.989,0.201,0.614,0.607,1HNkqx9Ahdgi1Ixy2xkKkL,85
138,Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,folk,moody,0.533,108.296,0.139,0.625,0.659,29d0nY7TzCoi22XBqDQkiP,85
139,Words (feat. Zara Larsson),"Alesso, Zara Larsson",electronic,moody,0.586,124.026,0.444,0.739,0.0245,1bgKMxPQU7JIZEhNsM1vFs,85
140,THE LONELIEST,Måneskin,indie,moody,0.595,129.786,0.237,0.519,0.00151,1Ame8XTX6QHY0l0ahqUhgv,85
141,X ÚLTIMA VEZ,"Daddy Yankee, Bad Bunny",reggae,energetic,0.855,90.04,0.573,0.812,0.0789,48AJSd42lXpicsGqcgopof,85
142,Wake Me Up,Avicii,electronic,energetic,0.783,124.08,0.643,0.532,0.0038,0nrRP2bk19rLc0orkWPQk2,85
143,Memories,Maroon 5,pop,happy,0.327,91.05,0.595,0.775,0.841,4cktbXiXOapiLBMprHFErI,85
144,Yet To Come,BTS,k-pop,energetic,0.885,172.029,0.683,0.559,0.0432,10SRMwb9EuVS1K9rYsBfHQ,85
145,Normal,Feid,reggae,happy,0.557,170.079,0.594,0.712,0.0397,2z9YkcLojiOE7Eu2p9lPZR,85
146,Los Cachos,"Piso 21, Manuel Turizo",reggae,intense,0.73,91.966,0.421,0.774,0.108,5fhcuVxuBWfgNXGuyAtLmr,85
147,Shinunoga E-Wa,Fujii Kaze,pop,energetic,0.76,158.078,0.519,0.6,0.166,0o9zmvc5f3EFApU52PPIyW,85
148,Creep,Radiohead,rock,moody,0.43,91.844,0.104,0.515,0.0097,70LcF31zb1H0PyJoS1Sx1r,85
149,Something Just Like This,"The Chainsmokers, Coldplay",electronic,moody,0.635,103.019,0.446,0.617,0.0498,6RUKPb4LETWmmr3iAEQktW,85
150,Livin' On A Prayer,Bon Jovi,metal,energetic,0.887,122.511,0.795,0.532,0.0778,37ZJ0p5Jm13JPevGcx4SkF,85
151,Say You Won't Let Go,James Arthur,pop,moody,0.557,85.043,0.494,0.358,0.695,5uCax9HTNlzGybIStD3vDh,85
152,Stan,"Eminem, Dido",hip-hop,energetic,0.768,80.063,0.507,0.78,0.0371,3UmaczJpikHgJFyBTAJVoz,85
153,positions,Ariana Grande,electronic,energetic,0.802,144.015,0.682,0.737,0.468,35mvY5S1H3J2QZyna3TFe0,85
154,All of Me,John Legend,soul,sad,0.264,119.93,0.331,0.422,0.922,3U4isOIWM3VvDubwSI3y7a,85
155,Pink + White,Frank Ocean,soul,happy,0.545,159.94,0.549,0.545,0.667,3xKsf9qdS1CyvXSMEid6g8,85
156,Hymn for the Weekend,Coldplay,pop,moody,0.693,90.027,0.412,0.491,0.211,3RiPr603aXAoi4GHyXx0uy,85
157,Everybody Dies In Their Nightmares,XXXTENTACION,emo,happy,0.57,129.953,0.689,0.734,0.847,3GVkPk8mqxz0itaAriG1L7,85
158,MAMIII,"Becky G, KAROL G",reggae,energetic,0.7,93.991,0.899,0.843,0.0934,1ri9ZUkBJVFUdgwzCnfcYs,85
159,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",electronic,energetic,0.825,102.977,0.915,0.702,0.00883,5nujrmhLynf4yMoMtj8AQF,85
160,Bad Memories (feat. Elley Duhé & FAST BOY),"MEDUZA, James Carter, Elley Duhé, FAST BOY",house,energetic,0.767,123.998,0.662,0.607,0.118,3rb0tMq42WfggucPm0HHkA,85
161,Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",electronic,energetic,0.738,119.976,0.637,0.721,0.00226,4qu63nuBpdn0qHUHuObEj1,85
162,Clean White Noise - Loopable with no fade,"White Noise Baby Sleep, White Noise for Babies",ambient,sad,0.00342,0.0,0.0,0.0,0.791,2bRKxuH1o7pTmb1y4GfdEc,85
163,Lost,Frank Ocean,soul,moody,0.603,123.061,0.497,0.913,0.0272,3GZD6HmiNUhxXYf8Gch723,85
164,In the End,Linkin Park,metal,intense,0.864,105.143,0.4,0.556,0.00958,60a0Rd6pjrkxjPbaKzXjfq,85
165,Lost in the Fire (feat. The Weeknd),"Gesaffelstein, The Weeknd",electronic,moody,0.671,100.966,0.166,0.658,0.0933,2vXKRlJBXyOcvZYTdNeckS,85
166,Somewhere Only We Know,Keane,classical,moody,0.665,172.004,0.304,0.448,0.06,1SKPmfSYaPsETbRHaiA18G,85
167,Let Me Down Slowly,Alec Benjamin,pop,moody,0.557,150.073,0.483,0.652,0.74,2qxmye6gAegTMjLKEBoR3d,85
168,Heat Waves,Glass Animals,indie pop,happy,0.525,80.87,0.531,0.761,0.44,6CDzDgIUqeDY5g8ujExx2f,85
169,Lover,Taylor Swift,pop,moody,0.543,68.534,0.453,0.359,0.492,1dGr1c8CrMLDpV6mPbImSI,85
170,Take on Me,a-ha,rock,energetic,0.902,84.412,0.876,0.573,0.018,2WfaOiMkCvy7F5fcp2zZ8L,85
171,Dynamite,BTS,k-pop,energetic,0.765,114.044,0.737,0.746,0.0112,5QDLhrAOJJdNAmCTJ8xMyW,85
172,Back In Black,AC/DC,rock,energetic,0.7,188.386,0.763,0.31,0.011,08mG3Y1vljYA6bvDt4Wqkj,85
173,Bored,Billie Eilish,electronic,moody,0.318,119.959,0.112,0.614,0.896,04sN26COy28wTXYj3dMoiZ,85
174,Highway to Hell,AC/DC,rock,intense,0.913,115.728,0.423,0.574,0.061,2zYzyRzz6pRmhPzyfMEC8s,85
175,Pink Venom,BLACKPINK,k-pop,energetic,0.719,90.016,0.69,0.794,0.0119,7EyhPjrJzjx0fk2i7vUJCS,85
176,MEMORIAS,"Mora, Jhayco",latin,intense,0.707,127.963,0.317,0.771,0.389,2hLXUbsOU9cDb9RFva9FYr,85
177,Yo No Soy Celoso,Bad Bunny,latin,happy,0.588,142.004,0.93,0.872,0.275,5kVZxyMY1gfdCLiChsfjn1,85
178,Me Fui de Vacaciones,Bad Bunny,latin,moody,0.645,85.046,0.434,0.714,0.229,28GCbKgjlVD9eDmasGbe0T,85
179,Blank Space,Taylor Swift,pop,energetic,0.703,95.997,0.57,0.76,0.103,1u8c2t2Cy7UBoG4ArRcF5g,85
180,Otro Atardecer,"Bad Bunny, The Marías",latin,happy,0.595,108.02,0.546,0.777,0.59,0E0DRHf5PfMeor0ZCwB3oT,85
181,Infinity,Jaymes Young,pop,moody,0.673,121.963,0.494,0.671,0.148,1SOClUWhOi8vHZYMz3GluK,85
182,LOVE DIVE,IVE,k-pop,energetic,0.709,117.941,0.538,0.703,0.00379,0Q5VnK2DYzRyfqQRJuUtvi,85
183,Stressed Out,Twenty One Pilots,rock,happy,0.637,169.977,0.648,0.734,0.0462,3CRDbSIZ4r5MsZ0YwxuEkn,85
184,Easy On Me,Adele,rock,moody,0.366,141.981,0.13,0.604,0.578,0gplL1WMoJ6iYaPgMCL0gX,85
185,PUNTO 40,"Rauw Alejandro, Baby Rasta",latin,intense,0.826,106.972,0.201,0.873,0.00127,2TDyyEBasw10wu5Uh94bR1,85
186,Thunder,Imagine Dragons,rock,intense,0.822,167.997,0.288,0.605,0.00671,1zB4vmk8tFRmM9UULNzbLB,85
187,Crazy What Love Can Do,"David Guetta, Becky Hill, Ella Henderson",electronic,intense,0.713,122.872,0.464,0.601,0.0282,1WCEAGGRD066z2Q89ObXTq,85
188,One Dance,"Drake, Wizkid, Kyla",hip-hop,moody,0.625,103.967,0.37,0.792,0.00776,1zi7xx7UVEFkmKfv06H8x0,85
189,House of Memories,Panic! At The Disco,rock,energetic,0.817,109.952,0.506,0.506,0.00272,2DgdHcjWmO3qd50RzuBLgZ,85
190,Hotel California - 2013 Remaster,Eagles,rock,happy,0.508,147.125,0.609,0.579,0.00574,40riOy7x9W7GXjyGp4pjAv,84
