id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,track_id,popularity
25671,Walk On Water - Acoustic,Thirty Seconds To Mars,grunge,moody,0.635,139.949,0.412,0.522,0.199,4sNbnjnqIKkT16XuUtwU88,46
25672,The Master - VIP,Spag Heddy,electronic,intense,0.868,173.945,0.295,0.495,0.00366,2SwoHOkk5X3GJUP6KeuB1d,46
25673,Love of My Life,Berc Polat,folk,moody,0.687,94.996,0.123,0.766,0.209,2LJj6EepVuS7CtSuhA1a4g,46
25674,Behne Do,Vismay Patel,folk,moody,0.385,100.034,0.413,0.676,0.775,5GlPyea0WIbj3PI66a9Dft,46
25675,Funky Shit,The Prodigy,electronic,intense,0.99,125.011,0.252,0.704,0.157,6oaidYwGQkwbBbInVjfzAM,46
25676,California Dreamin',The Beach Boys,rock,energetic,0.847,116.474,0.591,0.577,0.0214,2UZCTcfF0y4jiVdQkPcmO7,46
25677,Folköl Och Dunkadunka,Svenne Rubins,pop,energetic,0.907,92.33,0.972,0.613,0.15,0vbgxkcDTMYqURoBGF4RNp,46
25678,Right Back - 2nd Edit,Stoto,funk,moody,0.555,120.065,0.3,0.855,0.025,7tOVbC7XazkWeLVbVv2wlX,46
25679,With You Tonight (Hasta El Amanecer),Nicky Jam,latin,happy,0.588,93.979,0.564,0.781,0.317,2GICtNjlmq5w1XIQ9s0D9y,46
25680,Dream A Little Dream Of Me,"Ella Fitzgerald, Louis Armstrong",blues,sad,0.127,76.559,0.322,0.631,0.939,3Bbbz0IGORWZSLf9UqsAL4,46
25681,Ya Rabba,Kailash Kher,folk,happy,0.413,143.946,0.59,0.649,0.261,5GpK2be6lGPawut1iSqOKN,46
25682,Jal Rahin Hain,Kailash Kher,folk,happy,0.627,152.984,0.691,0.442,0.793,2p2S8TcwaKkzOwZpRUnYhS,46
25683,Berraqueo,Yiordano Ignacio,latin,happy,0.655,96.032,0.885,0.9,0.346,71HcKKNwvQ8Jv6lbBEi4oO,46
25684,Soñando - Remastered,Kevin Martes 13,latin,energetic,0.713,180.02,0.745,0.756,0.095,05y79YGqS94EQe0v29lHIo,46
25685,Hummingbird,"B.B. King, John Mayer",blues,happy,0.593,162.335,0.647,0.53,0.533,0CF1X2oxbHWyFNPG2CPeNX,46
25686,Lovin' So Hard,Becky G,latin,energetic,0.828,77.5,0.551,0.603,0.0616,5EnCFISDzoIMWMaicJxxX9,46
25687,Habibi - German Remix,"Ricky Rich, Dardan, Zuna",pop,moody,0.598,117.972,0.318,0.772,0.135,552XAn6DZb2UVT2G9rCpDQ,46
25688,Smack My Bitch Up - Noisia Remix,"The Prodigy, Noisia",electronic,intense,0.987,140.01,0.322,0.49,0.000708,5NlW1Be0WYIOFp1gx1b7Kf,46
25689,Landa,Cassian,disco,intense,0.883,123.986,0.0527,0.736,0.00683,4QKgq7twx3wHL3fS73WKHo,46
25690,Green Is the Colour,Pink Floyd,rock,relaxed,0.148,74.868,0.521,0.503,0.807,7DDvRmOSP2Yx28CfL6W7aw,46
25691,Kya,"Pritam, Neeraj Shridhar",folk,happy,0.694,95.995,0.802,0.705,0.252,5JjI5hR0isXUV6LjIv6k1o,46
25692,Gelato,"Dvice, La Fortaleza Real, Lyan, Jehza",latin,happy,0.573,93.015,0.591,0.812,0.342,1vv7h64yOLrdfHuTzfv9gI,46
25693,No Lo Pienses Mas,Ñejo,latin,energetic,0.83,93.019,0.846,0.838,0.0142,1bEppoRAORPzwVS6y3F4Ef,46
25694,Romperte,"Jehza, Galindo Again, Dvice, Joniel",latin,happy,0.584,170.06,0.912,0.715,0.0753,4UCmiDTgCZwy5QwgsDEN4T,46
25695,Sirena (Versión Acústica),Kenia OS,latin,moody,0.477,133.593,0.455,0.599,0.75,1eNsBd4FoFc6hYmnoe0CVC,46
25696,Blockbuster,Herobust,electronic,energetic,0.941,149.891,0.653,0.52,0.00371,4r1Esr3fUo4oVeVMMmTlvB,46
25697,Smile,David Gilmour,blues,sad,0.141,93.577,0.143,0.43,0.757,4G1rzFZNDcReeg9BOpNimT,46
25698,Dessa Vez Eu Me Rendo - Ao Vivo,Alexandre Pires,latin,energetic,0.776,164.035,0.818,0.638,0.441,7o8mnlsmeJtCtOet7O0r0b,46
25699,Quem Vai Chorar Sou Eu,"Diogo Nogueira, Zeca Pagodinho",latin,happy,0.609,169.981,0.971,0.682,0.684,01Y6Ty0YJVGXWiJOK4zi0q,46
25700,Everything,Vide,pop,moody,0.379,79.103,0.401,0.481,0.899,2aE0KU314ITBNJcBTG7tfm,46
25701,Every Season,"Tony Allen, Damon Albarn, Ty",afrobeats,energetic,0.735,163.852,0.721,0.751,0.0626,6HrYi2gwKxrwEtZX3Orype,46
25702,Zion,Fluke,electronic,intense,0.9,127.014,0.0394,0.601,0.0125,7isVtUtibpSO2eVSkSJcc6,46
25703,Grow,"Joakim Lundell, Tom Noah",pop,moody,0.607,80.027,0.33,0.521,0.298,6B1iDt4SJmWFUeC61V4W7S,46
25704,Rara Söta Anna,Ronny & Ragge,pop,intense,0.892,105.055,0.404,0.732,0.118,09o8YE3Ta7YRXh5NI9HPZQ,46
25705,Telephone,"CASTLEBEAT, Sonia Gadhia",rock,moody,0.518,124.029,0.439,0.575,0.284,6xJSVfI6xi51iJrbm9KjXb,46
25706,Safari Strut,Whitefield Brothers,afrobeats,energetic,0.862,109.965,0.902,0.677,0.416,1lDELORqnHLLTe1bYmHLq7,46
25707,Army,Zayde Wølf,blues,intense,0.907,120.017,0.418,0.504,0.00017,4qnZ5zzTk2fHrH7oVpIsfr,46
25708,Sandcastles - ToWonder X Severo Remix,"Adam Jensen, ToWonder, Severo",blues,intense,0.825,150.072,0.402,0.613,0.245,1TgDJSj2toOHuB2rybLdQb,46
25709,Mere Sang,"Pritam, Sunidhi Chauhan, Sandeep Shrivastava",folk,happy,0.535,114.867,0.577,0.624,0.642,585SYEI9JiuPwTifUycHe0,46
25710,Piya Ghar Aavenge,"Kailash Kher, Paresh Kamath, Naresh Kamath",folk,sad,0.28,111.381,0.175,0.516,0.76,7iqrdb5JRoBOE9CQLCv9W0,46
25711,Mitosis,"Blanke, Deathpact",electronic,intense,0.78,142.022,0.227,0.582,0.00365,1F1yF2KSilU2YLOMuYYf71,46
25712,Heads Or Tails,"QUIX, Amba Shepherd",electronic,happy,0.681,145.046,0.558,0.72,0.0289,2o5GJ6ODpzswofGKNI2ZYv,46
25713,Yevandoi Nani Garu,"Divya Kumar, Sravana Bhargavi",folk,energetic,0.826,129.911,0.691,0.874,0.116,6WCH22y0yjBbL1Vyuf0E9g,46
25714,Tu Mera Hogaya Hai,"Pritam, Jubin Nautiyal",folk,energetic,0.814,92.955,0.613,0.598,0.453,2pmufbyTPOHnniooCPJKod,46
25715,"Deva Deva (From ""Brahmastra (Kannada)"")","Pritam, Sanjith Hegde, Arijit Singh, Jonita Gandhi",folk,energetic,0.73,112.052,0.506,0.56,0.645,0wKiyi7AlxyLo3fiVPX454,46
25716,Kylie - Remix,"Akcent, Midi Culture",disco,energetic,0.752,124.019,0.648,0.783,0.0191,5OUcDUBDFkBVyrS0pg4wVn,46
